id,category
386,6
387,12
388,0
389,8
390,6
391,18
392,0
393,3
394,12
395,5
396,15
397,15
398,7
399,8
400,12
401,2
402,13
403,16
404,8
405,12
406,3
407,15
408,18
409,14
410,5
411,6
412,14
413,18
414,2
415,4
416,4
417,4
418,8
419,7
420,0
421,1
422,5
423,15
424,17
425,3
426,18
427,18
428,18
429,8
430,7
431,0
432,6
433,2
434,5
435,12
436,0
437,4
438,2
439,18
440,18
441,15
442,18
443,19
444,12
445,18
446,16
447,11
448,0
449,14
450,8
451,7
452,19
453,15
454,4
455,8
456,0
457,4
458,6
459,8
460,15
461,12
462,6
463,8
464,6
465,19
466,17
467,0
468,1
469,0
470,4
471,0
472,3
473,18
474,15
475,0
476,1
477,1
478,18
479,18
480,5
481,11
482,3
483,0
484,13
485,16
486,6
487,5
488,7
489,11
490,2
491,16
492,11
493,8
494,3
495,8
496,14
497,15
498,0
499,17
500,3
501,17
502,14
503,12
504,15
505,3
506,1
507,12
508,6
509,2
510,18
511,0
512,14
513,7
514,0
515,5
516,18
517,0
518,18
519,18
520,16
521,0
522,3
523,8
524,12
525,18
526,15
527,6
528,2
529,12
530,16
531,8
532,11
533,0
534,1
535,5
536,8
537,13
538,17
539,12
540,13
541,7
542,18
543,8
544,4
545,15
546,13
547,18
548,11
549,12
550,0
551,6
552,11
553,18
554,12
555,7
556,12
557,18
558,16
559,3
560,8
561,18
562,4
563,12
564,0
565,15
566,12
567,18
568,11
569,3
570,15
571,14
572,14
573,12
574,0
575,2
576,0
577,18
578,7
579,1
580,4
581,5
582,11
583,2
584,12
585,2
586,18
587,1
588,7
589,13
590,14
591,6
592,3
593,7
594,0
595,4
596,1
597,5
598,3
599,2
600,18
601,11
602,8
603,2
604,3
605,1
606,5
607,3
608,5
609,13
610,6
611,11
612,0
613,15
614,6
615,16
616,3
617,0
618,14
619,7
620,11
621,2
622,12
623,18
624,12
625,5
626,0
627,12
628,14
629,0
630,14
631,16
632,9
633,4
634,5
635,18
636,18
637,12
638,0
639,12
640,0
641,16
642,4
643,6
644,2
645,3
646,13
647,5
648,1
649,12
650,3
651,8
652,8
653,8
654,17
655,2
656,3
657,3
658,7
659,0
660,5
661,15
662,12
663,18
664,15
665,0
666,4
667,12
668,2
669,6
670,18
671,16
672,18
673,3
674,14
675,0
676,18
677,3
678,17
679,2
680,18
681,7
682,7
683,12
684,17
685,0
686,18
687,13
688,0
689,13
690,14
691,12
692,15
693,18
694,2
695,15
696,13
697,16
698,0
699,2
700,6
701,15
702,14
703,0
704,4
705,11
706,8
707,7
708,14
709,8
710,0
711,16
712,3
713,1
714,17
715,7
716,11
717,15
718,16
719,16
720,7
721,7
722,3
723,6
724,14
725,7
726,3
727,1
728,2
729,2
730,18
731,7
732,0
733,0
734,0
735,13
736,5
737,14
738,11
739,15
740,16
741,2
742,3
743,18
744,3
745,15
746,15
747,8
748,2
749,8
750,2
751,16
752,6
753,1
754,0
755,13
756,18
757,8
758,2
759,8
760,18
761,2
762,5
763,16
764,18
765,11
766,12
767,6
768,11
769,7
770,12
771,11
772,7
773,6
774,3
775,1
776,5
777,2
778,1
779,18
780,1
781,5
782,15
783,8
784,15
785,6
786,6
787,18
788,3
789,0
790,18
791,1
792,12
793,4
794,6
795,7
796,14
797,0
798,4
799,12
800,13
801,12
802,18
803,12
804,2
805,0
806,11
807,3
808,18
809,0
810,1
811,15
812,15
813,6
814,17
815,13
816,15
817,2
818,15
819,11
820,18
821,7
822,13
823,4
824,18
825,16
826,15
827,7
828,14
829,2
830,18
831,7
832,7
833,7
834,5
835,2
836,7
837,15
838,4
839,12
840,4
841,7
842,13
843,2
844,18
845,18
846,18
847,2
848,5
849,16
850,13
851,1
852,17
853,2
854,1
855,14
856,18
857,0
858,1
859,5
860,1
861,16
862,18
863,18
864,6
865,4
866,12
867,7
868,4
869,15
870,12
871,2
872,15
873,0
874,14
875,14
876,3
877,18
878,13
879,15
880,0
881,18
882,18
883,15
884,2
885,2
886,3
887,14
888,8
889,15
890,16
891,11
892,14
893,5
894,18
895,8
896,18
897,15
898,7
899,6
900,3
901,7
902,5
903,18
904,15
905,17
906,11
907,1
908,18
909,6
910,3
911,5
912,15
913,3
914,15
915,7
916,2
917,1
918,9
919,15
920,8
921,15
922,18
923,8
924,12
925,0
926,12
927,17
928,16
929,16
930,18
931,8
932,13
933,2
934,0
935,16
936,0
937,18
938,12
939,16
940,6
941,13
942,17
943,18
944,9
945,6
946,0
947,3
948,1
949,2
950,3
951,13
952,10
953,1
954,6
955,4
956,8
957,7
958,14
959,14
960,12
961,2
962,12
963,8
964,18
965,18
966,18
967,7
968,1
969,11
970,7
971,11
972,0
973,6
974,11
975,17
976,3
977,12
978,18
979,6
980,7
981,2
982,8
983,7
984,18
985,15
986,0
987,11
988,3
989,1
990,12
991,6
992,6
993,6
994,15
995,3
996,14
997,5
998,15
999,18
1000,4
1001,15
1002,16
1003,1
1004,15
1005,14
1006,12
1007,2
1008,13
1009,12
1010,0
1011,16
1012,14
1013,8
1014,16
1015,16
1016,4
1017,15
1018,8
1019,1
1020,12
1021,7
1022,8
1023,7
1024,15
1025,18
1026,2
1027,2
1028,3
1029,2
1030,6
1031,11
1032,16
1033,4
1034,18
1035,1
1036,2
1037,1
1038,6
1039,18
1040,15
1041,15
1042,4
1043,0
1044,7
1045,7
1046,11
1047,2
1048,0
1049,4
1050,18
1051,3
1052,12
1053,15
1054,3
1055,5
1056,11
1057,7
1058,18
1059,0
1060,3
1061,11
1062,2
1063,15
1064,4
1065,3
1066,3
1067,18
1068,18
1069,12
1070,0
1071,7
1072,0
1073,16
1074,15
1075,2
1076,1
1077,3
1078,0
1079,9
1080,4
1081,17
1082,2
1083,7
1084,17
1085,17
1086,0
1087,14
1088,17
1089,17
1090,0
1091,2
1092,15
1093,1
1094,7
1095,5
1096,14
1097,8
1098,14
1099,2
1100,17
1101,1
1102,15
1103,15
1104,2
1105,6
1106,18
1107,16
1108,2
1109,6
1110,1
1111,0
1112,16
1113,17
1114,3
1115,6
1116,18
1117,5
1118,15
1119,6
1120,0
1121,11
1122,8
1123,16
1124,13
1125,5
1126,15
1127,12
1128,15
1129,3
1130,15
1131,18
1132,18
1133,8
1134,18
1135,18
1136,11
1137,0
1138,5
1139,8
1140,6
1141,14
1142,11
1143,0
1144,3
1145,7
1146,18
1147,5
1148,0
1149,18
1150,14
1151,15
1152,13
1153,4
1154,16
1155,19
1156,2
1157,15
1158,14
1159,5
1160,18
1161,0
1162,16
1163,2
1164,8
1165,12
1166,3
1167,18
1168,16
1169,3
1170,16
1171,6
1172,4
1173,12
1174,15
1175,15
1176,6
1177,6
1178,12
1179,12
1180,2
1181,12
1182,15
1183,3
1184,18
1185,7
1186,18
1187,0
1188,3
1189,18
1190,3
1191,15
1192,2
1193,12
1194,18
1195,18
1196,9
1197,11
1198,2
1199,8
1200,0
1201,2
1202,17
1203,6
1204,5
1205,7
1206,15
1207,3
1208,3
1209,0
1210,15
1211,16
1212,15
1213,18
1214,11
1215,8
1216,1
1217,3
1218,2
1219,17
1220,2
1221,3
1222,17
1223,6
1224,0
1225,13
1226,15
1227,2
1228,15
1229,1
1230,16
1231,18
1232,17
1233,3
1234,8
1235,14
1236,4
1237,5
1238,18
1239,18
1240,5
1241,15
1242,0
1243,14
1244,18
1245,7
1246,15
1247,15
1248,1
1249,17
1250,0
1251,8
1252,18
1253,17
1254,0
1255,3
1256,16
1257,4
1258,4
1259,18
1260,2
1261,12
1262,12
1263,0
1264,18
1265,15
1266,2
1267,7
1268,0
1269,3
1270,15
1271,16
1272,0
1273,17
1274,7
1275,14
1276,18
1277,8
1278,16
1279,8
1280,5
1281,13
1282,8
1283,3
1284,7
1285,3
1286,12
1287,11
1288,0
1289,12
1290,3
1291,5
1292,0
1293,18
1294,16
1295,0
1296,15
1297,7
1298,18
1299,18
1300,12
1301,16
1302,11
1303,6
1304,6
1305,0
1306,13
1307,12
1308,2
1309,5
1310,2
1311,8
1312,11
1313,3
1314,14
1315,5
1316,3
1317,13
1318,5
1319,0
1320,4
1321,12
1322,15
1323,12
1324,5
1325,5
1326,18
1327,4
1328,3
1329,5
1330,3
1331,5
1332,1
1333,4
1334,16
1335,18
1336,2
1337,12
1338,14
1339,18
1340,16
1341,11
1342,18
1343,1
1344,18
1345,18
1346,3
1347,5
1348,5
1349,5
1350,0
1351,12
1352,11
1353,3
1354,12
1355,18
1356,17
1357,3
1358,12
1359,7
1360,12
1361,3
1362,15
1363,16
1364,15
1365,0
1366,2
1367,1
1368,2
1369,18
1370,5
1371,14
1372,7
1373,4
1374,15
1375,4
1376,0
1377,1
1378,5
1379,15
1380,1
1381,6
1382,11
1383,12
1384,8
1385,18
1386,7
1387,17
1388,0
1389,18
1390,11
1391,12
1392,18
1393,5
1394,15
1395,8
1396,17
1397,17
1398,14
1399,18
1400,6
1401,12
1402,18
1403,18
1404,18
1405,17
1406,0
1407,17
1408,12
1409,2
1410,6
1411,18
1412,2
1413,18
1414,18
1415,14
1416,14
1417,2
1418,18
1419,18
1420,16
1421,14
1422,3
1423,14
1424,5
1425,2
1426,10
1427,12
1428,15
1429,14
1430,15
1431,16
1432,5
1433,3
1434,5
1435,11
1436,3
1437,3
1438,8
1439,16
1440,15
1441,12
1442,15
1443,15
1444,0
1445,18
1446,12
1447,16
1448,2
1449,5
1450,12
1451,3
1452,15
1453,14
1454,18
1455,4
1456,18
1457,6
1458,7
1459,5
1460,2
1461,5
1462,3
1463,2
1464,16
1465,4
1466,15
1467,16
1468,12
1469,18
1470,16
1471,14
1472,1
1473,7
1474,14
1475,19
1476,14
1477,12
1478,3
1479,12
1480,8
1481,3
1482,17
1483,8
1484,15
1485,17
1486,0
1487,18
1488,18
1489,14
1490,3
1491,3
1492,16
1493,0
1494,7
1495,6
1496,6
1497,5
1498,17
1499,2
1500,13
1501,2
1502,7
1503,6
1504,2
1505,12
1506,4
1507,18
1508,13
1509,11
1510,14
1511,14
1512,13
1513,16
1514,13
1515,15
1516,15
1517,13
1518,0
1519,18
1520,15
1521,16
1522,3
1523,15
1524,6
1525,16
1526,7
1527,6
1528,15
1529,11
1530,8
1531,14
1532,3
1533,15
1534,8
1535,1
1536,12
1537,16
1538,4
1539,11
1540,18
1541,16
1542,16
1543,0
1544,0
1545,18
1546,15
1547,18
1548,18
1549,18
1550,1
1551,18
1552,0
1553,13
1554,18
1555,18
1556,18
1557,2
1558,18
1559,8
1560,12
1561,1
1562,3
1563,3
1564,5
1565,14
1566,6
1567,3
1568,11
1569,14
1570,6
1571,6
1572,15
1573,12
1574,16
1575,12
1576,11
1577,15
1578,4
1579,18
1580,6
1581,6
1582,2
1583,11
1584,18
1585,5
1586,18
1587,1
1588,6
1589,12
1590,0
1591,18
1592,16
1593,8
1594,7
1595,15
1596,3
1597,12
1598,8
1599,12
1600,18
1601,0
1602,2
1603,15
1604,16
1605,15
1606,0
1607,3
1608,18
1609,11
1610,15
1611,3
1612,11
1613,3
1614,5
1615,2
1616,8
1617,3
1618,3
1619,13
1620,4
1621,5
1622,13
1623,8
1624,15
1625,12
1626,18
1627,3
1628,11
1629,8
1630,15
1631,16
1632,14
1633,11
1634,0
1635,15
1636,3
1637,16
1638,8
1639,18
1640,16
1641,2
1642,11
1643,7
1644,3
1645,15
1646,12
1647,18
1648,3
1649,18
1650,17
1651,14
1652,12
1653,11
1654,5
1655,14
1656,13
1657,18
1658,5
1659,2
1660,7
1661,17
1662,12
1663,12
1664,6
1665,18
1666,7
1667,11
1668,18
1669,14
1670,15
1671,18
1672,0
1673,3
1674,12
1675,11
1676,6
1677,3
1678,12
1679,6
1680,12
1681,12
1682,4
1683,1
1684,16
1685,12
1686,8
1687,11
1688,3
1689,4
1690,12
1691,15
1692,14
1693,3
1694,16
1695,0
1696,18
1697,2
1698,5
1699,4
1700,18
1701,2
1702,18
1703,5
1704,16
1705,18
1706,3
1707,2
1708,14
1709,1
1710,7
1711,11
1712,2
1713,15
1714,7
1715,1
1716,12
1717,17
1718,18
1719,3
1720,2
1721,8
1722,15
1723,5
1724,7
1725,5
1726,2
1727,7
1728,18
1729,15
1730,6
1731,8
1732,16
1733,0
1734,2
1735,5
1736,16
1737,1
1738,12
1739,12
1740,18
1741,3
1742,4
1743,16
1744,5
1745,3
1746,8
1747,3
1748,15
1749,3
1750,18
1751,2
1752,3
1753,5
1754,1
1755,2
1756,15
1757,3
1758,14
1759,2
1760,16
1761,15
1762,18
1763,14
1764,5
1765,4
1766,2
1767,5
1768,18
1769,14
1770,12
1771,0
1772,18
1773,8
1774,0
1775,13
1776,16
1777,15
1778,3
1779,3
1780,2
1781,3
1782,8
1783,18
1784,11
1785,15
1786,7
1787,13
1788,18
1789,3
1790,2
1791,7
1792,6
1793,12
1794,11
1795,1
1796,15
1797,4
1798,11
1799,15
1800,3
1801,5
1802,11
1803,19
1804,13
1805,0
1806,12
1807,15
1808,2
1809,12
1810,5
1811,18
1812,18
1813,5
1814,18
1815,5
1816,6
1817,15
1818,3
1819,2
1820,7
1821,12
1822,2
1823,18
1824,18
1825,1
1826,14
1827,16
1828,4
1829,1
1830,12
1831,15
1832,12
1833,15
1834,15
1835,1
1836,18
1837,5
1838,1
1839,3
1840,3
1841,18
1842,13
1843,8
1844,4
1845,2
1846,18
1847,18
1848,3
1849,15
1850,18
1851,14
1852,0
1853,15
1854,15
1855,2
1856,1
1857,17
1858,18
1859,3
1860,2
1861,5
1862,16
1863,13
1864,2
1865,3
1866,2
1867,18
1868,12
1869,3
1870,7
1871,13
1872,13
1873,6
1874,11
1875,16
1876,12
1877,18
1878,6
1879,11
1880,12
1881,15
1882,10
1883,5
1884,18
1885,15
1886,18
1887,14
1888,3
1889,18
1890,13
1891,2
1892,19
1893,18
1894,15
1895,6
1896,18
1897,8
1898,6
1899,1
1900,7
1901,13
1902,2
1903,0
1904,5
1905,14
1906,8
1907,1
1908,14
1909,4
1910,18
1911,2
1912,8
1913,15
1914,18
1915,14
1916,2
1917,1
1918,7
1919,12
1920,2
1921,3
1922,15
1923,0
1924,7
1925,2
1926,0
1927,11
1928,2
1929,2
1930,18
1931,7
1932,1
1933,2
1934,15
1935,13
1936,15
1937,13
1938,6
1939,14
1940,18
1941,2
1942,14
1943,0
1944,8
1945,12
1946,18
1947,13
1948,18
1949,7
1950,18
1951,11
1952,3
1953,12
1954,15
1955,12
1956,1
1957,12
1958,7
1959,14
1960,2
1961,0
1962,2
1963,5
1964,2
1965,16
1966,15
1967,14
1968,12
1969,16
1970,16
1971,3
1972,5
1973,18
1974,3
1975,3
1976,13
1977,17
1978,15
1979,15
1980,8
1981,13
1982,0
1983,7
1984,12
1985,0
1986,3
1987,7
1988,18
1989,0
1990,7
1991,14
1992,4
1993,16
1994,12
1995,1
1996,1
1997,7
1998,11
1999,0
2000,9
2001,7
2002,1
2003,15
2004,13
2005,2
2006,4
2007,3
2008,7
2009,0
2010,12
2011,18
2012,16
2013,2
2014,0
2015,15
2016,11
2017,2
2018,7
2019,18
2020,13
2021,13
2022,8
2023,5
2024,3
2025,6
2026,18
2027,17
2028,0
2029,2
2030,17
2031,8
2032,18
2033,18
2034,7
2035,17
2036,10
2037,7
2038,12
2039,0
2040,13
2041,14
2042,0
2043,4
2044,0
2045,0
2046,8
2047,18
2048,3
2049,15
2050,19
2051,0
2052,18
2053,5
2054,8
2055,0
2056,4
2057,15
2058,3
2059,12
2060,2
2061,12
2062,15
2063,15
2064,1
2065,5
2066,18
2067,12
2068,11
2069,11
2070,18
2071,6
2072,12
2073,0
2074,12
2075,13
2076,5
2077,18
2078,18
2079,14
2080,15
2081,12
2082,8
2083,11
2084,6
2085,5
2086,11
2087,3
2088,0
2089,2
2090,16
2091,6
2092,17
2093,2
2094,2
2095,12
2096,7
2097,3
2098,3
2099,5
2100,2
2101,16
2102,12
2103,4
2104,4
2105,6
2106,18
2107,0
2108,0
2109,15
2110,14
2111,1
2112,4
2113,15
2114,8
2115,2
2116,2
2117,8
2118,14
2119,2
2120,18
2121,4
2122,11
2123,14
2124,18
2125,13
2126,4
2127,18
2128,2
2129,12
2130,12
2131,18
2132,2
2133,7
2134,14
2135,17
2136,2
2137,15
2138,0
2139,3
2140,5
2141,15
2142,3
2143,2
2144,3
2145,3
2146,16
2147,15
2148,16
2149,12
2150,2
2151,8
2152,18
2153,4
2154,3
2155,18
2156,6
2157,0
2158,13
2159,12
2160,12
2161,4
2162,2
2163,2
2164,15
2165,16
2166,4
2167,0
2168,15
2169,1
2170,11
2171,15
2172,11
2173,18
2174,11
2175,8
2176,14
2177,4
2178,4
2179,7
2180,14
2181,18
2182,18
2183,18
2184,5
2185,8
2186,11
2187,1
2188,3
2189,11
2190,18
2191,3
2192,15
2193,7
2194,13
2195,2
2196,4
2197,15
2198,4
2199,14
2200,8
2201,0
2202,2
2203,17
2204,16
2205,16
2206,7
2207,11
2208,0
2209,0
2210,8
2211,15
2212,12
2213,11
2214,3
2215,18
2216,12
2217,2
2218,11
2219,11
2220,12
2221,15
2222,18
2223,5
2224,18
2225,15
2226,6
2227,18
2228,16
2229,18
2230,6
2231,18
2232,16
2233,18
2234,0
2235,0
2236,12
2237,12
2238,8
2239,18
2240,18
2241,0
2242,8
2243,5
2244,19
2245,2
2246,7
2247,15
2248,18
2249,3
2250,5
2251,3
2252,17
2253,0
2254,13
2255,18
2256,3
2257,5
2258,14
2259,5
2260,1
2261,5
2262,11
2263,13
2264,15
2265,12
2266,18
2267,4
2268,4
2269,18
2270,3
2271,2
2272,14
2273,3
2274,2
2275,2
2276,18
2277,2
2278,0
2279,14
2280,2
2281,18
2282,18
2283,1
2284,3
2285,17
2286,12
2287,18
2288,2
2289,2
2290,4
2291,10
2292,12
2293,1
2294,2
2295,15
2296,13
2297,8
2298,0
2299,18
2300,0
2301,19
2302,11
2303,1
2304,13
2305,1
2306,14
2307,5
2308,18
2309,3
2310,12
2311,0
2312,12
2313,6
2314,13
2315,5
2316,4
2317,11
2318,0
2319,12
2320,3
2321,3
2322,12
2323,0
2324,5
2325,3
2326,14
2327,18
2328,5
2329,15
2330,8
2331,0
2332,2
2333,18
2334,18
2335,5
2336,8
2337,0
2338,13
2339,4
2340,15
2341,11
2342,18
2343,15
2344,18
2345,2
2346,13
2347,5
2348,8
2349,6
2350,11
2351,0
2352,16
2353,4
2354,18
2355,11
2356,18
2357,11
2358,18
2359,0
2360,6
2361,16
2362,16
2363,3
2364,18
2365,16
2366,14
2367,0
2368,1
2369,6
2370,3
2371,18
2372,6
2373,6
2374,2
2375,4
2376,0
2377,18
2378,0
2379,14
2380,0
2381,5
2382,7
2383,3
2384,5
2385,17
2386,8
